i;j;Fij;count
T1;T1;291058;351
T1;T10;8297;43
T1;T11;3889;13
T1;T12;17064;77
T1;T2;12163;52
T1;T3;32682;55
T1;T4;81129;134
T1;T5;16622;63
T1;T6;25317;53
T1;T7;1962;14
T1;T8;18756;54
T1;T9;1997;9
T10;T1;73743;222
T10;T10;19501;78
T10;T11;11707;29
T10;T12;4931;27
T10;T2;140;1
T10;T3;2387;14
T10;T4;9124;46
T10;T5;111;1
T10;T6;2979;16
T10;T8;6236;24
T10;T9;3497;15
T11;T1;22408;74
T11;T10;9359;37
T11;T11;12108;41
T11;T12;6084;27
T11;T2;223;2
T11;T3;652;4
T11;T4;1527;8
T11;T6;680;4
T11;T8;1023;5
T11;T9;828;4
T12;T1;68625;250
T12;T10;1906;12
T12;T11;7269;24
T12;T12;46515;179
T12;T2;5728;34
T12;T3;2921;19
T12;T4;3764;27
T12;T5;142;1
T12;T6;1261;8
T12;T8;856;5
T2;T1;47427;163
T2;T11;165;1
T2;T12;6453;37
T2;T2;23219;87
T2;T3;12472;36
T2;T4;7762;47
T2;T5;563;5
T2;T6;1068;7
T2;T8;122;1
T3;T1;45772;94
T3;T12;896;6
T3;T2;5108;22
T3;T3;13442;24
T3;T4;15843;45
T3;T5;1406;8
T3;T6;1413;5
T3;T8;423;2
T4;T1;66223;158
T4;T10;103;1
T4;T12;101;1
T4;T2;267;2
T4;T3;11238;28
T4;T4;53733;80
T4;T5;11804;43
T4;T6;4989;18
T4;T8;862;6
T5;T1;49530;118
T5;T12;103;1
T5;T2;371;3
T5;T3;4107;12
T5;T4;30211;51
T5;T5;19682;39
T5;T6;6840;20
T5;T8;1162;7
T6;T1;47133;125
T6;T10;233;2
T6;T11;158;1
T6;T12;206;2
T6;T2;132;1
T6;T3;1485;7
T6;T4;5757;28
T6;T5;5291;20
T6;T6;14574;39
T6;T7;2058;14
T6;T8;4921;20
T6;T9;102;1
T7;T1;28020;110
T7;T10;268;2
T7;T11;125;1
T7;T3;391;3
T7;T4;2394;15
T7;T5;743;5
T7;T6;7202;25
T7;T7;12433;34
T7;T8;8703;29
T7;T9;2312;14
T8;T1;58770;167
T8;T10;2354;10
T8;T11;287;1
T8;T12;743;5
T8;T2;103;1
T8;T3;1254;7
T8;T4;3646;20
T8;T5;787;5
T8;T6;6269;26
T8;T7;1945;12
T8;T8;13722;50
T8;T9;2689;12
T9;T1;34869;151
T9;T10;5314;23
T9;T11;667;4
T9;T12;510;4
T9;T3;568;4
T9;T4;3568;23
T9;T6;3865;22
T9;T7;3916;18
T9;T8;11944;47
T9;T9;13122;61
