CODGEO;LIBGEO;DCLT;L_DCLT;NBFLUX_C14_ACTOCC15P;DEPT_i;DEPT_j;EPT_i;LIBEPT_i;EPT_j;LIBEPT_j
75101;Paris 1er Arrondissement;75102;Paris 2e  Arrondissement;247;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;75105;Paris 5e  Arrondissement;104;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;75108;Paris 8e  Arrondissement;426;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;75109;Paris 9e  Arrondissement;263;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;75112;Paris 12e  Arrondissement;123;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;75113;Paris 13e  Arrondissement;139;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;75115;Paris 15e  Arrondissement;134;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;75116;Paris 16e  Arrondissement;123;75;75;T1;Paris;T1;Paris
75101;Paris 1er Arrondissement;92012;Boulogne-Billancourt;128;75;92;T1;Paris;T3;Grand Paris Sud Ouest
75101;Paris 1er Arrondissement;92026;Courbevoie;139;75;92;T1;Paris;T4;La Defense
75101;Paris 1er Arrondissement;92044;Levallois-Perret;101;75;92;T1;Paris;T4;La Defense
75101;Paris 1er Arrondissement;92062;Puteaux;190;75;92;T1;Paris;T4;La Defense
75101;Paris 1er Arrondissement;93066;Saint-Denis;156;75;93;T1;Paris;T6;Plaine Commune
75102;Paris 2e  Arrondissement;75101;Paris 1er Arrondissement;286;75;75;T1;Paris;T1;Paris
75102;Paris 2e  Arrondissement;75103;Paris 3e  Arrondissement;115;75;75;T1;Paris;T1;Paris
75102;Paris 2e  Arrondissement;75106;Paris 6e  Arrondissement;122;75;75;T1;Paris;T1;Paris
75102;Paris 2e  Arrondissement;75107;Paris 7e  Arrondissement;170;75;75;T1;Paris;T1;Paris
