CODGEO;LIBGEO;DCLT;L_DCLT;NBFLUX_C14_ACTOCC15P
75101;Paris 1er Arrondissement;75102;Paris 2e  Arrondissement;247
75101;Paris 1er Arrondissement;75105;Paris 5e  Arrondissement;104
75101;Paris 1er Arrondissement;75108;Paris 8e  Arrondissement;426
75101;Paris 1er Arrondissement;75109;Paris 9e  Arrondissement;263
75101;Paris 1er Arrondissement;75112;Paris 12e  Arrondissement;123
75101;Paris 1er Arrondissement;75113;Paris 13e  Arrondissement;139
75101;Paris 1er Arrondissement;75115;Paris 15e  Arrondissement;134
75101;Paris 1er Arrondissement;75116;Paris 16e  Arrondissement;123
75101;Paris 1er Arrondissement;92012;Boulogne-Billancourt;128
75101;Paris 1er Arrondissement;92026;Courbevoie;139
75101;Paris 1er Arrondissement;92044;Levallois-Perret;101
75101;Paris 1er Arrondissement;92062;Puteaux;190
75101;Paris 1er Arrondissement;93066;Saint-Denis;156
75102;Paris 2e  Arrondissement;75101;Paris 1er Arrondissement;286
75102;Paris 2e  Arrondissement;75103;Paris 3e  Arrondissement;115
75102;Paris 2e  Arrondissement;75106;Paris 6e  Arrondissement;122
75102;Paris 2e  Arrondissement;75107;Paris 7e  Arrondissement;170
75102;Paris 2e  Arrondissement;75108;Paris 8e  Arrondissement;593
75102;Paris 2e  Arrondissement;75109;Paris 9e  Arrondissement;382
75102;Paris 2e  Arrondissement;75110;Paris 10e  Arrondissement;131
75102;Paris 2e  Arrondissement;75111;Paris 11e  Arrondissement;107
75102;Paris 2e  Arrondissement;75112;Paris 12e  Arrondissement;149
75102;Paris 2e  Arrondissement;75113;Paris 13e  Arrondissement;122
75102;Paris 2e  Arrondissement;75114;Paris 14e  Arrondissement;105
75102;Paris 2e  Arrondissement;75115;Paris 15e  Arrondissement;207
75102;Paris 2e  Arrondissement;75116;Paris 16e  Arrondissement;233
75102;Paris 2e  Arrondissement;75117;Paris 17e  Arrondissement;156
75102;Paris 2e  Arrondissement;75119;Paris 19e  Arrondissement;117
75102;Paris 2e  Arrondissement;92012;Boulogne-Billancourt;306
75102;Paris 2e  Arrondissement;92026;Courbevoie;271
75102;Paris 2e  Arrondissement;92040;Issy-les-Moulineaux;150
75102;Paris 2e  Arrondissement;92044;Levallois-Perret;176
75102;Paris 2e  Arrondissement;92051;Neuilly-sur-Seine;105
75102;Paris 2e  Arrondissement;92062;Puteaux;249
75102;Paris 2e  Arrondissement;92073;Suresnes;104
75102;Paris 2e  Arrondissement;93066;Saint-Denis;131
75103;Paris 3e  Arrondissement;75101;Paris 1er Arrondissement;379
75103;Paris 3e  Arrondissement;75102;Paris 2e  Arrondissement;410
75103;Paris 3e  Arrondissement;75104;Paris 4e  Arrondissement;224
75103;Paris 3e  Arrondissement;75105;Paris 5e  Arrondissement;231
75103;Paris 3e  Arrondissement;75106;Paris 6e  Arrondissement;159
75103;Paris 3e  Arrondissement;75107;Paris 7e  Arrondissement;251
75103;Paris 3e  Arrondissement;75108;Paris 8e  Arrondissement;906
75103;Paris 3e  Arrondissement;75109;Paris 9e  Arrondissement;452
75103;Paris 3e  Arrondissement;75110;Paris 10e  Arrondissement;326
75103;Paris 3e  Arrondissement;75111;Paris 11e  Arrondissement;316
75103;Paris 3e  Arrondissement;75112;Paris 12e  Arrondissement;266
75103;Paris 3e  Arrondissement;75113;Paris 13e  Arrondissement;322
75103;Paris 3e  Arrondissement;75114;Paris 14e  Arrondissement;172
75103;Paris 3e  Arrondissement;75115;Paris 15e  Arrondissement;319
75103;Paris 3e  Arrondissement;75116;Paris 16e  Arrondissement;330
75103;Paris 3e  Arrondissement;75117;Paris 17e  Arrondissement;298
75103;Paris 3e  Arrondissement;75118;Paris 18e  Arrondissement;140
75103;Paris 3e  Arrondissement;75119;Paris 19e  Arrondissement;212
75103;Paris 3e  Arrondissement;75120;Paris 20e  Arrondissement;129
75103;Paris 3e  Arrondissement;92012;Boulogne-Billancourt;375
75103;Paris 3e  Arrondissement;92024;Clichy;127
75103;Paris 3e  Arrondissement;92026;Courbevoie;336
75103;Paris 3e  Arrondissement;92040;Issy-les-Moulineaux;204
75103;Paris 3e  Arrondissement;92044;Levallois-Perret;218
75103;Paris 3e  Arrondissement;92050;Nanterre;168
75103;Paris 3e  Arrondissement;92051;Neuilly-sur-Seine;225
75103;Paris 3e  Arrondissement;92062;Puteaux;326
75103;Paris 3e  Arrondissement;93048;Montreuil;105
75103;Paris 3e  Arrondissement;93066;Saint-Denis;190
75103;Paris 3e  Arrondissement;95527;Roissy-en-France;122
75104;Paris 4e  Arrondissement;75101;Paris 1er Arrondissement;232
